Timestamp,Nama,Usia saat ini,Siapa yang menyarankan Anda mengisi kuesioner ini?,Pada usia berapa Anda mengenal internet?,"Siapa yang memperkenalkan internet pertama kali kepada Anda? (dengan melihat, meniru, diajarkan langsung, dsb)",Apakah kamu pernah mengalami penyalahgunaan teknologi atau kejahatan internet?,"Jika pernah, penyalahgunaan teknologi atau kejahatan internet seperti apa yang kamu alami?","Jika pernah, di umur berapa Anda mengalaminya?",Menurut Anda seberapa parah penyalahgunaan teknologi atau kejahatan internet di Indonesia?,Menurut Anda seberapa penting adanya pendidikan digital di kalangan anak dan remaja?,Apakah peran orang tua dan guru dibutuhkan dalam pengenalan teknologi dan internet dengan baik kepada anak dan remaja?,Menurut Anda pendidikan digital model apa yang paling mudah diterima anak dan remaja?
24/05/2024 20:30:38,Qor****a,> 18 Tahun,A,<=18 Tahun,Orang tua,Pernah,"Penipuan Online (Online Scam), Phishing (Misal berbasis file.apk)",>18 Tahun,4,4,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 20:39:59,Rif****,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,Penipuan Online (Online Scam),<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 20:45:29,Ibr****n,> 18 Tahun,A,>18 Tahun,Orang tua,Tidak Pernah,,,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 20:49:03,Han****n,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Tidak Pernah,,,4,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 20:49:21,Aur****a,> 18 Tahun,A,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,Penipuan Online (Online Scam),>18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 20:59:33,Daf****o,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Tidak Pernah,,,4,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 21:02:32,Adi****.,> 18 Tahun,A,<=18 Tahun,Orang tua,Tidak Pernah,,,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 21:05:17,Vio****,> 18 Tahun,A,<=18 Tahun,"Orang tua, Teman / Saudara, Guru",Pernah,"Phishing (Misal berbasis file.apk), Cracking (Peretasan perangkat lunak), Pemalsuan Data / Identitas",>18 Tahun,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 22:24:11,Muh****,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,"Peretasan (Hacking), Phishing (Misal berbasis file.apk)",<=18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 22:33:17,Nal****a,> 18 Tahun,B,<=18 Tahun,Teman / Saudara,Pernah,Penipuan Online (Online Scam),<=18 Tahun,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 22:45:18,The****e,> 18 Tahun,C,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,"Penipuan Online (Online Scam), Peretasan (Hacking)",<=18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 22:47:12,Deb****a,> 18 Tahun,C,>18 Tahun,Diri Sendiri dan lingkungan,Pernah,Penipuan Online (Online Scam),>18 Tahun,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
